Category,Food Name,熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),飽和脂肪(g),灰分(g),總碳水化合物(g),膳食纖維(g),糖質總量(g),葡萄糖(g),果糖(g),半乳糖(g),麥芽糖(g),蔗糖(g),乳糖(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),磷(mg),銅(mg),視網醇當量(RE)(ug),β-胡蘿蔔素(ug),α-維生素E當量(α-TE)(mg),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素B12(ug),葉酸(ug),維生素C(mg),脂肪酸S總量(mg),脂肪酸M總量(mg),脂肪酸P總量(mg),亞麻油酸(18:2)(mg),次亞麻油酸(18:3)(mg),其他脂肪酸(mg),反式脂肪(mg),酥胺酸(Thr),胱胺酸(Cys),纈胺酸(Val),甲硫胺酸(Met),異白胺酸(Ile),白胺酸(Leu),酪胺酸(Tyr),苯丙胺酸(Phe),離胺酸(Lys),組胺酸(His),精胺酸(Arg),色胺酸(Trp),膽固醇(mg),酒精含量(g),醣類熱量%,脂肪熱量%,蛋白質熱量%,酒精熱量%
水果類,"冷凍荔枝",28.1127,91.9,0.4,0.11,,0.41,7.18,0.62,,,,,,,,9,130,4,12,0.22,0.2,27,,0,0,,0,0.04,0.38,0.0234,,,39.9,,,,,,,,,,,,,,,,,,,,,,91.94421027,3.275032281,4.780757451,
水果類,"龍眼",71.8698,79.718,1.1275,0.3794,0.2183,0.7457,18.0294,1.8,15.159,2.489,2.276,0,0,10.394,0,2.5862,282.1886,4.5375,8.9389,0.3527,0.3322,29.3649,,0,0,0.0083,0.0125,0.14,0.606,0.106,,,95.4005,218.255541,111.2985076,47.603318,6.2058458,26.3584356,2.2426334,0,26.993,7.2712,35.78,2.392,22.029,50.648,20.017,22.248,37.511,17.335,68.055,0,,,90.31028853,4.418514042,5.271197431,
水果類,"龍眼乾",276.0909,18.2395,5.065,0.4547,0.2515,5.3334,70.9074,2.855,51.408,12.784,11.642,0,0.094,26.888,0,4.8081,1234.885,48.8558,47.7506,1.2848,0.7079,144.7898,,0,0,0.0239,0.026,0.418,2.7815,0.3548,,,0.2,251.5327648,134.8881191,68.2795708,27.0287321,41.2508387,0,0,104.143,32.7083,167.998,30.258,123.368,228.653,83.989,126.753,130.829,63.828,86.148,0,,,92.45746941,1.378473282,6.164057307,
水果類,"帶殼龍眼乾",278.4911,19.662,4.604,0.071,0,2.7665,72.8965,3.0869,,,,,,,,0.4082,1044.4139,29.6735,31.2729,0.8839,0.6021,95.6379,,0,0,0.0209,0.019,0.457,1.992,0.773,,,0,0,0,0,0,0,,,89.226,32.763,142.496,30.602,97.525,187.35,72.032,106.75,108.742,51.828,64.336,0,,,94.23187692,0.213389217,5.554733866,
水果類,"李子平均值(青皮黃肉)",47.5354,86.864,0.667,0.3753,,0.3845,11.7093,1.5136,,,,,,,,0.2939,151.8591,4.1201,7.4296,0.2248,0.3368,35.8599,,8.5193,51.1059,0.543,0.024,0.022,0.245,0.1668,,,1.9355,,,,,,,,,,,,,,,,,,,,,,88.67721992,6.608192076,4.714588003,
水果類,"加州青李",47.176,86.771,0.649,0.22,,0.3728,11.9872,1.7611,,,,,,,,0.4595,163.3641,3.9235,7.577,0,0.4552,55.5462,,6.9154,41.484,0.656,0.024,0.023,0.417,0.2966,,,1.078,,,,,,,,,,,,,,,,,,,,,,91.47438653,3.903259202,4.622354267,
水果類,"翡翠李",47.8949,86.957,0.685,0.5305,,0.3961,11.4314,1.2661,,,,,,,,0.1282,140.354,4.3166,7.2821,0.4496,0.2183,16.1735,,10.1233,60.7277,0.43,0.024,0.021,0.073,0.037,,,2.793,,,,,,,,,,,,,,,,,,,,,,85.92359211,9.270888304,4.805519583,
水果類,"李子平均值(紅皮紅肉)",39.4575,89.045,0.6053,0.3384,0.1105,0.4026,9.6089,1.6598,5.6884,2.3783,2.4262,,0,0.884,0,0.2462,147.833,5.2054,6.0232,0.5408,0.4097,11.6226,,54.7166,328.2343,0.7879,0.0168,0.0273,0.0761,0.0228,,,2.3988,110.534976,55.064448,171.375912,97.401672,73.97424,1.428048,,,,,,,,,,,,,,,,87.66743264,7.1782392,5.154328159,
水果類,"紅肉李(大)",40.5805,88.866,0.5315,0.3323,,0.2665,10.0037,1.5101,5.8854,2.0848,2.3257,,0,1.4749,0,0.0003,139.654,5.0248,5.9563,0.1936,0.3673,9.9091,,67.8523,407.0325,0.7679,0.0135,0.0305,0.1521,0.0385,,,2.1405,,,,,,,,,,,,,,,,,,,,,,88.74535858,6.853908271,4.40073315,
水果類,"紅肉李(小)",38.3345,89.224,0.679,0.3444,0.1125,0.5386,9.214,1.8094,5.4914,2.6717,2.5267,,0,0.293,0,0.492,156.012,5.386,6.09,0.888,0.452,13.336,,41.581,249.436,0.808,0.02,0.0241,0,0.007,,,2.657,112.494816,56.040768,174.414492,99.128652,75.28584,1.453368,,,,,,,,,,,,,,,,86.528917,7.519676548,5.951406447,
水果類,"李子平均值(紅皮黃肉)",47.6233,86.729,0.7072,0.2937,0.1035,0.3842,11.8859,1.4819,5.4026,2.3563,2.5641,0,0,0.4822,0,0.6912,154.8608,5.7929,7.0358,0.2238,0.3175,14.893,,32.7577,196.5071,0.3691,0.0219,0.0218,0.1795,0.0445,,,4.0913,103.4778525,79.3903407,92.4746757,78.9894402,13.4852355,18.35625,0,,,,,,,,,,,,,,,89.8486239,5.161860478,4.98951562,
水果類,"加州紅李(台灣)",44.6365,88.153,0.348,0.6404,,0.2733,10.5853,1.6564,,,,,,,,0.0304,104.9041,5.9447,5.9953,0.2808,0.1844,8.3618,,11.62,69.7062,0.132,0.016,0.019,0,0.031,,,3.772,,,,,,,,,,,,,,,,,,,,,,85.37200087,12.00843937,2.619559756,
水果類,"加州紅李(進口)",60.0724,83.034,0.818,0.2653,,0.5762,15.3065,1.5236,,,,,,,,3.5,167.6598,4.7737,8.3664,0.1,0.2615,19.9581,,41.9972,251.9331,0.485,0.0205,0.046,0.385,0.0455,,,10.84,,,,,,,,,,,,,,,,,,,,,,91.7282519,3.696472064,4.57527604,
水果類,"加州蜜李(進口)",66.2079,81.119,1.254,0.0513,,0.4743,17.1014,2.0852,,,,,,,,0.0521,208.7852,7.7686,8.8738,0,0.6821,25.2468,,47.942,287.5944,0.62,0.039,0.016,0.425,0.065,,,3.798,,,,,,,,,,,,,,,,,,,,,,92.98750793,0.648534771,6.363957295,
水果類,"香水李",36.1779,89.871,0.709,0.271,0.0885,0.3914,8.7576,0.6216,5.8479,2.7302,2.8674,,0,0.2503,0,0.264,148.408,3.54,6.61,0.653,0.403,15.965,,15.0393,90.218,0.202,0.024,0.0175,0,0.005,,,2.821,88.48692,55.84768,125.36731,100.48138,24.88593,1.29538,,,,,,,,,,,,,,,,87.14542896,6.269772101,6.584798939,
水果類,"桃接李(大)",37.5626,89.614,0.5845,0.2828,,0.2877,9.231,1.168,5.045,1.9958,2.185,,0,0.8642,0,0.7417,122.3177,5.4843,6.482,0.1992,0.2193,10.001,,43.747,262.4297,0.418,0.0165,0.019,0.2258,0.041,,,1.33,,,,,,,,,,,,,,,,,,,,,,88.47001786,6.30158395,5.228398195,
