Category,Food Name,Alternative Name,Calorie (kcal),Carbs (g),Protein (g),Fat (g),Water (g),Ash (g),Fibre (g),Sugar (g),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Iron (mg),Zinc (mg),Phosphorus (mg),Copper (mg),Vitamin A(RE) (ug),β-Carotene (ug),Vitamin E(α-TE) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Nicotin (mg),Vitamin B6 (mg),Vitamin B12 (ug),Folic acid (ug),Vitamin C (mg),SFA (mg),MUFA (mg),PUFA (mg),LA (mg),ALA (mg),Thr (mg),Cys (mg),Val (mg),Met (mg),Ile (mg),Leu (mg),Tyr (mg),Phe (mg),Lys (mg),His (mg),Trp (mg),Trans Fat (mg),Cholesterol (mg),Alcohol (g),CalCalories(kcal),Carbs%,Fat%,Protein%,Alcohol%
魚貝類,"金鱗魚"," Squirrelfish",84.6607,1.26,19.51,0.15,78.03,1.05,,,60.89,336.84,6.55,30.62,0.49,0.78,175.94,,20.74,,0.11,0.039,0.03,2.01,0.2495,0.91,12,5.33,59.442,39.81225,50.74455,1.4442,0,853.93,459.71,933.12,596.45,883.23,1596.81,693.58,845.64,1789.76,465.91,235.28,,45.84,,89.7007,0.056186852,0.015083494,0.928729653,
魚貝類,"鱗馬鞭魚","馬鞭魚,馬戍,槍管,火管,剃仔,土管(臺東)  Rough flutemouth; Red cornet fish; Red cornetfish; Serrate flutemouth; Pipefish; Rough flute mouth; Cornet fish; Flute mouth; Flutemouth; Lacepede's cornetfish",83.8395,0,18.512,0.5314,81.26,0.9505,,0.034,120.609,209.57,11.075,26.011,0.184,0.368,128.456,,10.503,,0.184,0.009,0.0449,2.3436,0.342,0.842,18.746,0.62,203.7919,140.23646,179.82576,30.07724,2.60386,804.499,241.25,857.891,543.906,849.893,1556.023,661.795,738.143,1723.537,424.385,220.473,,72.519,,83.839468,0,0.057171498,0.942828502,
魚貝類,"黃鱔","鱔魚,田鱔,田鰻,長魚,血魚,羅魚,無鱗公子 Rice (paddy) field eel; Rice swampeel; Rice paddy eel; Rice eel; Swamp eel",88.1099,0.9618,17.616,1.429,78.683,1.3102,,0,54.763,272.775,39.295,21.421,4.038,1.868,172.807,,23.662,,1.137,0.066,1.7257,3.8346,0.165,2.09,19.926,2.011,442.87568,467.35445,461.69561,151.70264,66.89149,707.9,126.775,770.946,421.298,731.921,1310.549,556.296,649.513,1404.108,432.309,232.324,,113.65,,91.9571,0.0418369,0.140169492,0.817993608,
魚貝類,"石狗公","石頭魚,獅甕(澎湖),紅鱠仔 Rockfish; Scorpionfish; Filefish",80.04,0,18.28,0.22,81.06,1.1113,,,67.3,330.38,25.88,29.7,0.24,0.36,210.22,,3.63,,0.61,0.082,0.03,2.34,0.1284,0.86,3,0,25.3781,103.35534,91.26524,2.07834,0.5071,841.47,375.28,896.21,559.58,831.55,1518.04,664.69,776.82,1733.66,494.55,255.37,,54.13,,80.04,0,0.024792604,0.975207396,
魚貝類,"環紋簑鮋","龍鬚簑鮋,獅子魚,長獅,魔鬼,國公,石狗敢,虎魚,雞公,紅虎,火烘,石頭魚 Luna lion fish",79.47,0,18.4,0.1,80.8,1.3,,,145,324,13,37,0.2,0.4,166,,1,,0.22,0.04,0.01,1.1,0.159,1.01,0,0.7,35.39,17.79,46.83,1,0.19,853,462,870,584,836,1578,675,777,1781,436,264,,44.4,,79.47,0,0.011350195,0.988649805,
魚貝類,"深海鱗角魚","深海角魚,雞角,角仔魚 Gurnard; Searobin",80.0463,0,17.69,0.5,80.95,1.41,,,104.99,399.14,7.07,27.72,0.59,0.53,222.91,,53.48,,0.46,0.094,0.16,3.3,0.3818,2.46,7,0.82,168.2065,157.157,174.6335,3.8795,1.183,850.22,473.48,933.73,514.08,870.44,1545.14,687.38,755.08,1737.62,454.23,277.85,,54.7923,,80.0463,0,0.056342392,0.943657608,
魚貝類,"尖嘴鱸(去皮)","金目鱸,盲槽,扁紅目鱸,鱸魚 Palmer; Sea bass; Silver perch; Silver barramundi; White sea bass; Asian seabass; Cock-up; Barramundi perch; Barramundi; Giant seaperch; Giant perch; Giant sea-perch; Giant sea perch",98.2869,0.1486,20.571,1.1584,76.908,1.214,,,48.2306,435.0482,11.6848,28.192,0.6767,0.4794,184.2212,,10.407,,1.6253,0.256,0.051,3.557,0.355,0.501,6.977,0.564,337.893696,305.64384,514.85088,160.519488,21.036544,784.411,175.046,891.728,515.116,855.934,1465.639,648.794,781.903,1588.77,410.678,188.674,,58.23,,98.881338,0.006011246,0.105669768,0.888318987,
魚貝類,"尖嘴鱸(含皮)","金目鱸,盲槽,扁紅目鱸,鱸魚 Palmer; Sea bass; Silver perch; Silver barramundi; White sea bass; Asian seabass; Cock-up; Barramundi perch; Barramundi; Giant seaperch; Giant perch; Giant sea-perch; Giant sea perch",107.144,0,19.6,2.6,77.6,1,,,51,442,19,24,0.3,0.5,171,,12,,0.241,0.07,0.17,3.8,0.155,0.64,,0.6,1042.86,997.88,562.12,152.88,16.64,784,354,912,569,878,1570,674,811,1709,406,177,,71.5,,107.144,0,0.218882999,0.781117001,
魚貝類,"日本花鱸平均值","七星鱸,花鱸,青鱸,鱸魚,日本真鱸,鱸魚 Perch; Sea bass; Japanese seaperch; Japanese sea bass; Japan sea bass",97.9124,0.8831,19.8504,1.458,76.6742,1.1343,,,61.5287,377.1414,16.5808,31.0227,0.3691,0.5947,212.3997,,90.0426,0,0.7963,0.1008,0.1398,3.9756,0.1953,1.414,6.89,1.0218,422.792298,591.358968,443.83707,169.333578,17.411436,896.6775,163.572,936.0609,604.5104,917.3116,1629.9019,730.5293,810.4054,1669.517,572.4226,280.2069,,59.0346,,101.444768,0.034820919,0.129638623,0.835540459,
魚貝類,"日本花鱸(2月)","七星鱸,花鱸,青鱸,鱸魚,日本真鱸,鱸魚 Perch; Sea bass; Japanese seaperch; Japanese sea bass; Japan sea bass",94.8013,1.9139,20.14,0.976,75.85,1.1201,,,44.115,349.852,13.666,33.095,0.4666,0.8754,218.044,,100.08,0,0.787,0.152,0.125,3.717,0.24,1.54,4.74,0.474,265.824336,357.135968,353.032864,89.336208,9.572608,936.5005,173.2753,998.7862,633.4123,1002.9072,1748.8954,805.1955,862.9211,1745.9962,491.5569,458.2357,,66.612,,102.45692,0.074720185,0.085924113,0.839355702,
